supplier_name,total_water_production_16,total_water_production_15,total_water_production_13,savings_16,savings_15,savings_change,residential_water_usage_mean_16,cc_score
Sacramento  City of,10184000000.0,8994000000.0,13658000000.0,-0.2543564211451164,-0.3414848440474447,0.0871284229023283,150.32429998424365,1.068253804214686
Exeter  City of,218439208.0,195305455.0,293726309.0,-0.25631718607814596,-0.335076739755035,0.07875955367688903,181.24860980448798,1.0603288753079447
Ventura County Waterworks District No. 8,1774622715.09897,1573937338.23821,2242848406.0980797,-0.20876386015481524,-0.2982417652665101,0.08947790511169484,140.31069084381966,1.0598909628591977
Orange  City of,2465913258.9652,2175514467.2228003,3002851240.3758,-0.17880938429151208,-0.2755170692536406,0.09670768496212853,119.89348837736735,1.058909355379231
Dublin San Ramon Services District,832810000.0,679411000.0,1203386000.0,-0.30794441683715784,-0.4354172310463974,0.12747281420923956,68.26022765873664,1.053177179167069
San Bernardino County Service Area 70J,176422479.60634,154935836.50996,223341826.58007,-0.21007863906275076,-0.30628383011628074,0.09620519105352998,119.79201389523568,1.0529613723288398
Paramount  City of,574124146.25984,488868378.89956,619557610.72645,-0.07333210613511446,-0.21093959555052988,0.13760748941541542,57.72300962319107,1.045481987445383
San Bernardino  City of,3867768458.6047096,3429571605.8607903,4944126105.89394,-0.21770432716230562,-0.30633411599830246,0.08862978883599684,138.95527618454233,1.04476168092363
Golden State Water Company Norwalk,422857396.81789994,365507545.6659,463816921.19179994,-0.0883096810453843,-0.21195728537305036,0.12364760432766607,71.3080136937859,1.0441307256238468
Anaheim  City of,5449865116.575001,4767206377.01,6479881477.322,-0.1589560494820475,-0.2643065473197223,0.1053504978376748,92.56024231659258,1.0135585316370392
Victorville Water District,2147149100.50245,1922523419.3000002,2677195324.232,-0.19798563777994155,-0.2818889970788704,0.08390335929892884,143.90937232263164,1.0065234297805106
Carlsbad Municipal Water District,1453590630.7043,1287667084.0759,1743663571.0197,-0.1663583188503299,-0.2615163237465194,0.0951580048961895,111.82203552204199,1.006257255286373
"Modesto, City of",5571416420.0,5042602209.0,7385301317.0,-0.24560743281044928,-0.31721103952893737,0.07160360671848809,197.28149094082198,1.005722275342535
Huntington Beach  City of,2510261638.1799,2207904099.0666,2948922829.2073,-0.1487530248953027,-0.2512845445806032,0.10253151968530047,95.58653992394106,1.0024339458837128
